                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0946,                0.54585,                 1.1798,                0.97302,                 0.9473,                0.97789,                0.68139,                 1.1493,                0.43819,                 1.1765,                0.00307,                0.00307,                0.00307
                     37,                 1.0929,                0.53923,                 1.1765,                0.96491,                0.95435,                0.97781,                0.67972,                 1.1495,                0.43437,                 1.1759,               0.002872,               0.002872,               0.002872
                     38,                  1.089,                0.53578,                 1.1757,                0.97231,                0.95075,                0.97844,                0.68051,                 1.1492,                0.43295,                 1.1749,               0.002674,               0.002674,               0.002674
                     39,                 1.0851,                0.53013,                 1.1737,                0.97352,                0.94841,                0.97743,                 0.6809,                 1.1475,                0.43089,                 1.1746,               0.002476,               0.002476,               0.002476
                     40,                 1.0764,                0.52465,                 1.1648,                0.96818,                0.95634,                 0.9781,                0.68335,                 1.1449,                0.42965,                 1.1732,               0.002278,               0.002278,               0.002278
                     41,                 1.0595,                0.44644,                 1.2032,                0.97543,                0.94954,                 0.9783,                0.68427,                 1.1469,                 0.4276,                 1.1746,                0.00208,                0.00208,                0.00208
                     42,                 1.0474,                0.43652,                 1.1989,                0.97556,                0.95169,                0.97986,                0.68474,                 1.1465,                0.42641,                 1.1747,               0.001882,               0.001882,               0.001882
                     43,                 1.0422,                0.43223,                 1.1891,                 0.9773,                0.94893,                0.97892,                0.68532,                 1.1459,                0.42605,                 1.1741,               0.001684,               0.001684,               0.001684
                     44,                 1.0328,                0.42244,                  1.183,                0.97411,                0.95313,                0.97989,                 0.6855,                 1.1439,                 0.4251,                 1.1727,               0.001486,               0.001486,               0.001486
                     45,                 1.0264,                0.41416,                   1.18,                0.97504,                0.95263,                0.97964,                0.68624,                 1.1433,                0.42288,                 1.1721,               0.001288,               0.001288,               0.001288
                     46,                 1.0191,                0.40795,                 1.1754,                0.97654,                0.95216,                0.97971,                0.68569,                 1.1432,                0.42193,                  1.172,                0.00109,                0.00109,                0.00109
                     47,                 1.0108,                0.39935,                 1.1689,                0.97683,                0.95263,                0.97907,                0.68685,                 1.1428,                0.42029,                 1.1717,               0.000892,               0.000892,               0.000892
                     48,                 1.0004,                0.39511,                 1.1609,                0.97832,                 0.9531,                0.97956,                0.68663,                 1.1427,                0.41878,                 1.1712,               0.000694,               0.000694,               0.000694
                     49,                0.99682,                0.38898,                 1.1571,                0.97878,                0.95198,                 0.9787,                0.68772,                 1.1424,                0.41723,                 1.1708,               0.000496,               0.000496,               0.000496
                     50,                0.98309,                0.38204,                 1.1497,                0.97925,                0.95195,                0.97899,                0.68721,                 1.1425,                0.41774,                 1.1709,               0.000298,               0.000298,               0.000298
